dataset,backbone,perturbation,severity,tag,n_pairs,n_flip,flip_rate,auc_total_drift,auc_pred_margin,firstorder_recall
WRD25,resnet50,motion_blur,9,motion_blur_9,1615,604,0.3739938080495356,0.6449952836677344,0.823846627494907,0.5049668874172185
WRD25,resnet50,motion_blur,15,motion_blur_15,1615,969,0.6,0.5942163732039989,0.8713780444555205,0.5325077399380805
WRD25,resnet50,zoom_blur,1.05,zoom_blur_1_05,1615,353,0.21857585139318886,0.7725495301760326,0.9270998415213946,0.7393767705382436
WRD25,resnet50,zoom_blur,1.1,zoom_blur_1_1,1615,856,0.530030959752322,0.7701861155233767,0.8508166795956312,0.5829439252336449
WRD25,resnet50,zoom_blur,1.2,zoom_blur_1_2,1615,1162,0.7195046439628483,0.7896477109953532,0.8255956655382171,0.536144578313253
WRD25,resnet50,contrast,0.5,contrast_0_5,1615,89,0.055108359133126936,0.6824370094393803,0.9793982947266114,0.797752808988764
WRD25,resnet50,contrast,0.75,contrast_0_75,1615,31,0.019195046439628483,0.6376975399152819,0.9939516129032258,0.8387096774193549
WRD25,resnet50,contrast,1.25,contrast_1_25,1615,40,0.02476780185758514,0.48687301587301585,0.9986825396825397,0.9
WRD25,resnet50,contrast,1.5,contrast_1_5,1615,76,0.047058823529411764,0.5240886084607229,0.9863291269108444,0.8421052631578947
WRD25,resnet50,pixelate,0.5,pixelate_0_5,1615,902,0.5585139318885449,0.7604303044815479,0.8329300945693379,0.45454545454545453
WRD25,resnet50,pixelate,0.33,pixelate_0_33,1615,1438,0.8904024767801858,0.7957281377933886,0.8175510556878276,0.43671766342141866
WRD25,resnet50,pixelate,0.25,pixelate_0_25,1615,1555,0.9628482972136223,0.9818971061093248,0.9806002143622723,0.48938906752411576
WRD25,resnet50,scratch,mild,scratch_mild,1615,126,0.07801857585139318,0.5733340795463024,0.9885989318494355,0.8253968253968254
WRD25,resnet50,scratch,moderate,scratch_moderate,1615,323,0.2,0.5329570397492547,0.9569486911596967,0.739938080495356
WRD25,resnet50,scratch,severe,scratch_severe,1615,679,0.42043343653250775,0.6064639112319524,0.9257927067205418,0.6406480117820325
WRD25,resnet50,rotation,45,rotation_45,1615,573,0.35479876160990714,0.6291088422385465,0.8782630395969625,0.6038394415357766
WRD25,resnet50,rotation,90,rotation_90,1615,116,0.0718266253869969,0.621905983299211,0.9648673828529364,0.7931034482758621
WRD25,resnet50,rotation,135,rotation_135,1615,560,0.34674922600619196,0.6603546039268788,0.9025914014895057,0.625
WRD25,resnet50,rotation,180,rotation_180,1615,74,0.045820433436532505,0.5894294684041601,0.9879948085658663,0.8648648648648649
WRD25,resnet50,compound,mild,compound_mild,1615,1246,0.7715170278637771,0.8721263055327182,0.822249626990652,0.5032102728731942
