backbone,backbone_label,condition,reference_dataset,target_dataset,target_tag,policy,gamma,mmd,failure,n_reference,n_target
convnext_tiny,ConvNeXt-T,TierD_xmag_x10x20,VN26_x20,VN26_x10,original,global_median_x0.5,0.18678394102294782,0.04011428356170654,0.3788461538461538,2600,2600
convnext_tiny,ConvNeXt-T,TierD_xmag_x10x20,VN26_x20,VN26_x10,original,global_median_x2.0,0.7471357640917913,0.08903741836547852,0.3788461538461538,2600,2600
convnext_tiny,ConvNeXt-T,TierD_xmag_x20x50,VN26_x20,VN26_x50,original,per_pair_median,0.41696538404261685,0.12094271183013916,0.768846153846154,2600,2600
convnext_tiny,ConvNeXt-T,TierD_xmag_x20x50,VN26_x20,VN26_x50,original,global_median,0.37356788204589564,0.11342525482177734,0.768846153846154,2600,2600
convnext_tiny,ConvNeXt-T,TierD_xmag_x20x50,VN26_x20,VN26_x50,original,global_median_x0.5,0.18678394102294782,0.06916522979736328,0.768846153846154,2600,2600
convnext_tiny,ConvNeXt-T,TierD_xmag_x20x50,VN26_x20,VN26_x50,original,global_median_x2.0,0.7471357640917913,0.15378868579864502,0.768846153846154,2600,2600
convnext_tiny,ConvNeXt-T,TierD_xmag_x10x50,VN26_x50,VN26_x10,original,per_pair_median,0.4290778288107641,0.09922242164611816,0.6715384615384616,2600,2600
convnext_tiny,ConvNeXt-T,TierD_xmag_x10x50,VN26_x50,VN26_x10,original,global_median,0.37356788204589564,0.09145081043243408,0.6715384615384616,2600,2600
convnext_tiny,ConvNeXt-T,TierD_xmag_x10x50,VN26_x50,VN26_x10,original,global_median_x0.5,0.18678394102294782,0.05548548698425293,0.6715384615384616,2600,2600
convnext_tiny,ConvNeXt-T,TierD_xmag_x10x50,VN26_x50,VN26_x10,original,global_median_x2.0,0.7471357640917913,0.12523984909057617,0.6715384615384616,2600,2600
convnext_tiny,ConvNeXt-T,TierD_xmag_x20x50,VN26_x50,VN26_x20,original,per_pair_median,0.42397391647591415,0.11843407154083252,0.7953846153846155,2600,2600
convnext_tiny,ConvNeXt-T,TierD_xmag_x20x50,VN26_x50,VN26_x20,original,global_median,0.37356788204589564,0.11002004146575928,0.7953846153846155,2600,2600
convnext_tiny,ConvNeXt-T,TierD_xmag_x20x50,VN26_x50,VN26_x20,original,global_median_x0.5,0.18678394102294782,0.06703329086303711,0.7953846153846155,2600,2600
convnext_tiny,ConvNeXt-T,TierD_xmag_x20x50,VN26_x50,VN26_x20,original,global_median_x2.0,0.7471357640917913,0.14941954612731934,0.7953846153846155,2600,2600
convnext_tiny,ConvNeXt-T,TierC_BFS46_FSDM41,BFS46,FSDM41,original_shared_species,per_pair_median,0.4319192589898394,0.08095955848693848,0.6850629874025195,1088,1667
convnext_tiny,ConvNeXt-T,TierC_BFS46_FSDM41,BFS46,FSDM41,original_shared_species,global_median,0.37356788204589564,0.07420361042022705,0.6850629874025195,1088,1667
convnext_tiny,ConvNeXt-T,TierC_BFS46_FSDM41,BFS46,FSDM41,original_shared_species,global_median_x0.5,0.18678394102294782,0.04476284980773926,0.6850629874025195,1088,1667
convnext_tiny,ConvNeXt-T,TierC_BFS46_FSDM41,BFS46,FSDM41,original_shared_species,global_median_x2.0,0.7471357640917913,0.10292178392410278,0.6850629874025195,1088,1667
convnext_tiny,ConvNeXt-T,TierC_BFS46_FSDM41,FSDM41,BFS46,original_shared_species,per_pair_median,0.43416644325036047,0.0826108455657959,0.6397058823529411,1667,1088
convnext_tiny,ConvNeXt-T,TierC_BFS46_FSDM41,FSDM41,BFS46,original_shared_species,global_median,0.37356788204589564,0.07547521591186523,0.6397058823529411,1667,1088
convnext_tiny,ConvNeXt-T,TierC_BFS46_FSDM41,FSDM41,BFS46,original_shared_species,global_median_x0.5,0.18678394102294782,0.04549825191497803,0.6397058823529411,1667,1088
convnext_tiny,ConvNeXt-T,TierC_BFS46_FSDM41,FSDM41,BFS46,original_shared_species,global_median_x2.0,0.7471357640917913,0.10485070943832397,0.6397058823529411,1667,1088
swin_tiny,Swin-T,clean_TierA,WRD25,WRD25,original_holdout,per_pair_median,0.3747011273809307,0.02751600742340088,0.0,1079,1079
swin_tiny,Swin-T,clean_TierA,WRD25,WRD25,original_holdout,global_median,0.33451177581136754,0.025573015213012695,0.0,1079,1079
swin_tiny,Swin-T,clean_TierA,WRD25,WRD25,original_holdout,global_median_x0.5,0.16725588790568377,0.01515185832977295,0.0,1079,1079
swin_tiny,Swin-T,clean_TierA,WRD25,WRD25,original_holdout,global_median_x2.0,0.6690235516227351,0.03682523965835571,0.0,1079,1079
swin_tiny,Swin-T,clean_TierA,DTSR14,DTSR14,original_holdout,per_pair_median,0.37243690697672766,0.031458377838134766,0.0,4451,4452
swin_tiny,Swin-T,clean_TierA,DTSR14,DTSR14,original_holdout,global_median,0.33451177581136754,0.029432058334350586,0.0,4451,4452
swin_tiny,Swin-T,clean_TierA,DTSR14,DTSR14,original_holdout,global_median_x0.5,0.16725588790568377,0.0176469087600708,0.0,4451,4452
swin_tiny,Swin-T,clean_TierA,DTSR14,DTSR14,original_holdout,global_median_x2.0,0.6690235516227351,0.041264355182647705,0.0,4451,4452
swin_tiny,Swin-T,clean_TierA,PCA11,PCA11,original_holdout,per_pair_median,0.4180232501353942,0.03920114040374756,0.0,5397,5398
swin_tiny,Swin-T,clean_TierA,PCA11,PCA11,original_holdout,global_median,0.33451177581136754,0.03418290615081787,0.0,5397,5398
swin_tiny,Swin-T,clean_TierA,PCA11,PCA11,original_holdout,global_median_x0.5,0.16725588790568377,0.020332694053649902,0.0,5397,5398
swin_tiny,Swin-T,clean_TierA,PCA11,PCA11,original_holdout,global_median_x2.0,0.6690235516227351,0.04862678050994873,0.0,5397,5398
swin_tiny,Swin-T,TierD_xmag_x10x20,VN26_x10,VN26_x20,original,per_pair_median,0.35981786334466354,0.0705869197845459,0.4038461538461539,2600,2600
swin_tiny,Swin-T,TierD_xmag_x10x20,VN26_x10,VN26_x20,original,global_median,0.33451177581136754,0.06759774684906006,0.4038461538461539,2600,2600
swin_tiny,Swin-T,TierD_xmag_x10x20,VN26_x10,VN26_x20,original,global_median_x0.5,0.16725588790568377,0.0411982536315918,0.4038461538461539,2600,2600
swin_tiny,Swin-T,TierD_xmag_x10x20,VN26_x10,VN26_x20,original,global_median_x2.0,0.6690235516227351,0.09196257591247559,0.4038461538461539,2600,2600
swin_tiny,Swin-T,TierD_xmag_x10x50,VN26_x10,VN26_x50,original,per_pair_median,0.3554022049608654,0.1205369234085083,0.8065384615384618,2600,2600
swin_tiny,Swin-T,TierD_xmag_x10x50,VN26_x10,VN26_x50,original,global_median,0.33451177581136754,0.11642968654632568,0.8065384615384618,2600,2600
swin_tiny,Swin-T,TierD_xmag_x10x50,VN26_x10,VN26_x50,original,global_median_x0.5,0.16725588790568377,0.07174217700958252,0.8065384615384618,2600,2600
swin_tiny,Swin-T,TierD_xmag_x10x50,VN26_x10,VN26_x50,original,global_median_x2.0,0.6690235516227351,0.15459531545639038,0.8065384615384618,2600,2600
swin_tiny,Swin-T,TierD_xmag_x10x20,VN26_x20,VN26_x10,original,per_pair_median,0.36585305008090224,0.07323944568634033,0.4784615384615384,2600,2600
swin_tiny,Swin-T,TierD_xmag_x10x20,VN26_x20,VN26_x10,original,global_median,0.33451177581136754,0.06946313381195068,0.4784615384615384,2600,2600
swin_tiny,Swin-T,TierD_xmag_x10x20,VN26_x20,VN26_x10,original,global_median_x0.5,0.16725588790568377,0.04230821132659912,0.4784615384615384,2600,2600
swin_tiny,Swin-T,TierD_xmag_x10x20,VN26_x20,VN26_x10,original,global_median_x2.0,0.6690235516227351,0.09456241130828857,0.4784615384615384,2600,2600
swin_tiny,Swin-T,TierD_xmag_x20x50,VN26_x20,VN26_x50,original,per_pair_median,0.35623792454554504,0.15522503852844238,0.8292307692307692,2600,2600
swin_tiny,Swin-T,TierD_xmag_x20x50,VN26_x20,VN26_x50,original,global_median,0.33451177581136754,0.14973318576812744,0.8292307692307692,2600,2600
swin_tiny,Swin-T,TierD_xmag_x20x50,VN26_x20,VN26_x50,original,global_median_x0.5,0.16725588790568377,0.09222781658172607,0.8292307692307692,2600,2600
swin_tiny,Swin-T,TierD_xmag_x20x50,VN26_x20,VN26_x50,original,global_median_x2.0,0.6690235516227351,0.19886642694473267,0.8292307692307692,2600,2600
