detector,heldout_family,target_train_fpr,threshold,test_failure_rate,tpr,fpr,precision,n,tp,fp,fn,tn
ref_knn1_dist,gaussian_blur,0.05,0.2710398733615875,0.9196428571428571,0.9579288025889967,0.18518518518518517,0.9833887043189369,336,296,5,13,22
ref_knn1_dist,gaussian_blur,0.1,0.2228778600692749,0.9196428571428571,0.9741100323624595,0.2962962962962963,0.9741100323624595,336,301,8,8,19
ref_knn1_dist,gaussian_noise,0.05,0.276321142911911,0.35714285714285715,0.23333333333333334,0.009259259259259259,0.9333333333333333,168,14,1,46,107
ref_knn1_dist,gaussian_noise,0.1,0.2274762243032455,0.35714285714285715,0.55,0.05555555555555555,0.8461538461538461,168,33,6,27,102
ref_knn1_dist,green_channel_shift,0.05,0.2797970771789551,0.03571428571428571,0.25,0.004629629629629629,0.6666666666666666,224,2,1,6,215
ref_knn1_dist,green_channel_shift,0.1,0.2305105626583099,0.03571428571428571,0.5,0.018518518518518517,0.5,224,4,4,4,212
ref_knn1_dist,illumination,0.05,0.2804862260818481,0.0,,0.0,,224,0,0,0,224
ref_knn1_dist,illumination,0.1,0.2308253049850464,0.0,,0.0,,224,0,0,0,224
ref_knn1_dist,impulse_noise,0.05,0.2753547728061676,0.5714285714285714,0.3125,0.013888888888888888,0.967741935483871,168,30,1,66,71
ref_knn1_dist,impulse_noise,0.1,0.2237699180841446,0.5714285714285714,0.6666666666666666,0.125,0.8767123287671232,168,64,9,32,63
ref_knn1_dist,jpeg,0.05,0.2673325836658478,0.30357142857142855,0.6588235294117647,0.09743589743589744,0.7466666666666667,280,56,19,29,176
ref_knn1_dist,jpeg,0.1,0.2167308032512664,0.30357142857142855,0.8235294117647058,0.20512820512820512,0.6363636363636364,280,70,40,15,155
ref_knn1_dist,motion_blur,0.05,0.274412453174591,0.6607142857142857,0.5855855855855856,0.03508771929824561,0.9701492537313433,168,65,2,46,55
ref_knn1_dist,motion_blur,0.1,0.2266137152910232,0.6607142857142857,0.7387387387387387,0.05263157894736842,0.9647058823529412,168,82,3,29,54
ref_knn1_dist,pixelate,0.05,0.2753122448921203,0.8869047619047619,0.6375838926174496,0.0,1.0,168,95,0,54,19
ref_knn1_dist,pixelate,0.1,0.2263237982988357,0.8869047619047619,0.8053691275167785,0.05263157894736842,0.9917355371900827,168,120,1,29,18
ref_knn1_dist,red_channel_shift,0.05,0.2804862260818481,0.022321428571428572,0.0,0.0,,224,0,0,5,219
ref_knn1_dist,red_channel_shift,0.1,0.2308253049850464,0.022321428571428572,0.0,0.0,,224,0,0,5,219
ref_knn1_dist,resize,0.05,0.2727994322776794,0.19642857142857142,0.15151515151515152,0.05925925925925926,0.38461538461538464,168,5,8,28,127
ref_knn1_dist,resize,0.1,0.2209567427635193,0.19642857142857142,0.45454545454545453,0.18518518518518517,0.375,168,15,25,18,110
ref_knn1_dist,rotation,0.05,0.2773862183094024,0.42857142857142855,0.8333333333333334,0.0078125,0.9876543209876543,224,80,1,16,127
ref_knn1_dist,rotation,0.1,0.2254844307899475,0.42857142857142855,0.8958333333333334,0.1015625,0.8686868686868687,224,86,13,10,115
ref_knn1_dist,scratch,0.05,0.2473598271608352,0.4107142857142857,0.9420289855072463,0.47474747474747475,0.5803571428571429,168,65,47,4,52
ref_knn1_dist,scratch,0.1,0.2096075564622879,0.4107142857142857,0.9710144927536232,0.5858585858585859,0.536,168,67,58,2,41
ref_knn1_dist,shot_noise,0.05,0.2727994322776794,0.8214285714285714,0.5579710144927537,0.1,0.9625,168,77,3,61,27
ref_knn1_dist,shot_noise,0.1,0.2213667184114456,0.8214285714285714,0.7608695652173914,0.43333333333333335,0.8898305084745762,168,105,13,33,17
ref_knn1_dist,zoom_blur,0.05,0.2703152000904083,0.8690476190476191,0.8561643835616438,0.3181818181818182,0.946969696969697,168,125,7,21,15
ref_knn1_dist,zoom_blur,0.1,0.2213667184114456,0.8690476190476191,0.9246575342465754,0.5454545454545454,0.9183673469387755,168,135,12,11,10
ref_knn5_dist,blue_channel_shift,0.05,0.3216860890388489,0.008928571428571428,0.0,0.0,,224,0,0,2,222
ref_knn5_dist,blue_channel_shift,0.1,0.2738977968692779,0.008928571428571428,0.0,0.0,,224,0,0,2,222
ref_knn5_dist,compound,0.05,0.3151868283748626,1.0,0.8928571428571429,,1.0,168,150,0,18,0
