dataset,backbone,perturbation,severity,accuracy,acc_clean,drop
BD11,convnext_tiny,illumination,1.15,0.9454545454545454,0.9,-0.0454545454545454
BD11,convnext_tiny,illumination,1.3,0.9454545454545454,0.9,-0.0454545454545454
BD11,convnext_tiny,jpeg,10,0.7363636363636363,0.9,0.1636363636363637
BD11,convnext_tiny,jpeg,20,0.884090909090909,0.9,0.0159090909090909
BD11,convnext_tiny,jpeg,30,0.8795454545454545,0.9,0.0204545454545455
BD11,convnext_tiny,jpeg,50,0.9136363636363636,0.9,-0.0136363636363636
BD11,convnext_tiny,jpeg,70,0.9227272727272728,0.9,-0.0227272727272727
BD11,convnext_tiny,red_channel_shift,-45,0.925,0.9,-0.025
BD11,convnext_tiny,red_channel_shift,-30,0.9409090909090908,0.9,-0.0409090909090908
BD11,convnext_tiny,red_channel_shift,30,0.9431818181818182,0.9,-0.0431818181818182
BD11,convnext_tiny,red_channel_shift,45,0.9295454545454546,0.9,-0.0295454545454545
BD11,convnext_tiny,green_channel_shift,-45,0.8818181818181818,0.9,0.0181818181818181
BD11,convnext_tiny,green_channel_shift,-30,0.9090909090909092,0.9,-0.009090909090909
BD11,convnext_tiny,green_channel_shift,30,0.9295454545454546,0.9,-0.0295454545454545
BD11,convnext_tiny,green_channel_shift,45,0.9318181818181818,0.9,-0.0318181818181817
BD11,convnext_tiny,blue_channel_shift,-45,0.9159090909090908,0.9,-0.0159090909090908
BD11,convnext_tiny,blue_channel_shift,-30,0.9340909090909092,0.9,-0.034090909090909
BD11,convnext_tiny,blue_channel_shift,30,0.9454545454545454,0.9,-0.0454545454545454
BD11,convnext_tiny,blue_channel_shift,45,0.925,0.9,-0.025
BD11,convnext_tiny,gaussian_noise,0.02,0.95,0.9,-0.0499999999999999
BD11,convnext_tiny,gaussian_noise,0.05,0.9136363636363636,0.9,-0.0136363636363636
BD11,convnext_tiny,gaussian_noise,0.1,0.7909090909090909,0.9,0.1090909090909091
BD11,convnext_tiny,shot_noise,60,0.7545454545454545,0.9,0.1454545454545455
BD11,convnext_tiny,shot_noise,30,0.5840909090909091,0.9,0.3159090909090909
BD11,convnext_tiny,shot_noise,15,0.3386363636363636,0.9,0.5613636363636364
BD11,convnext_tiny,impulse_noise,0.01,0.9204545454545454,0.9,-0.0204545454545453
BD11,convnext_tiny,impulse_noise,0.03,0.8568181818181818,0.9,0.0431818181818182
BD11,convnext_tiny,impulse_noise,0.05,0.7863636363636364,0.9,0.1136363636363636
BD11,convnext_tiny,motion_blur,5,0.85,0.9,0.05
BD11,convnext_tiny,motion_blur,9,0.6090909090909091,0.9,0.2909090909090909
BD11,convnext_tiny,motion_blur,15,0.45,0.9,0.45
BD11,convnext_tiny,zoom_blur,1.05,0.7545454545454545,0.9,0.1454545454545455
BD11,convnext_tiny,zoom_blur,1.1,0.4454545454545454,0.9,0.4545454545454546
BD11,convnext_tiny,zoom_blur,1.2,0.359090909090909,0.9,0.540909090909091
BD11,convnext_tiny,contrast,0.5,0.9363636363636364,0.9,-0.0363636363636363
BD11,convnext_tiny,contrast,0.75,0.9386363636363636,0.9,-0.0386363636363635
BD11,convnext_tiny,contrast,1.25,0.9386363636363636,0.9,-0.0386363636363635
BD11,convnext_tiny,contrast,1.5,0.9431818181818182,0.9,-0.0431818181818182
BD11,convnext_tiny,pixelate,0.5,0.4340909090909091,0.9,0.4659090909090909
BD11,convnext_tiny,pixelate,0.33,0.1204545454545454,0.9,0.7795454545454545
BD11,convnext_tiny,pixelate,0.25,0.1545454545454545,0.9,0.7454545454545455
BD11,convnext_tiny,scratch,mild,0.9431818181818182,0.9,-0.0431818181818182
BD11,convnext_tiny,scratch,moderate,0.8772727272727273,0.9,0.0227272727272727
BD11,convnext_tiny,scratch,severe,0.6772727272727272,0.9,0.2227272727272727
BD11,convnext_tiny,rotation,45,0.4818181818181818,0.9,0.4181818181818182
BD11,convnext_tiny,rotation,90,0.8545454545454545,0.9,0.0454545454545455
BD11,convnext_tiny,rotation,135,0.4681818181818182,0.9,0.4318181818181818
BD11,convnext_tiny,rotation,180,0.95,0.9,-0.0499999999999999
BD11,convnext_tiny,compound,mild,0.4659090909090909,0.9,0.4340909090909091
BD11,convnext_tiny,compound,moderate,0.1681818181818181,0.9,0.7318181818181818
BD11,convnext_tiny,compound,severe,0.1227272727272727,0.9,0.7772727272727273
BD11,convnext_tiny,compound_optical,mild,0.7636363636363637,0.9,0.1363636363636363
BD11,convnext_tiny,compound_optical,moderate,0.4090909090909091,0.9,0.4909090909090909
BD11,convnext_tiny,compound_optical,severe,0.2227272727272727,0.9,0.6772727272727272
BD11,convnext_tiny,compound_digital,mild,0.6568181818181819,0.9,0.2431818181818181
