backbone,backbone_label,condition,condition_label,severity_rank,reference_dataset,target_dataset,target_tag,n_reference,n_target,ref_centroid_cosine,ref_mmd_rbf
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,impulse_noise_0_05,2942,2942,0.21535444259643555,0.21370023488998413
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,motion_blur_5,2942,2942,0.0665435791015625,0.05175596475601196
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,motion_blur_9,2942,2942,0.18763160705566406,0.14969879388809204
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,motion_blur_15,2942,2942,0.32678914070129395,0.24040216207504272
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,zoom_blur_1_05,2942,2942,0.27158069610595703,0.1920081377029419
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,zoom_blur_1_1,2942,2942,0.4210669994354248,0.30666452646255493
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,zoom_blur_1_2,2942,2942,0.3928210139274597,0.31190478801727295
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,contrast_0_5,2942,2942,0.03283095359802246,0.02820265293121338
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,contrast_0_75,2942,2942,0.007200121879577637,0.006596386432647705
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,contrast_1_25,2942,2942,0.004293382167816162,0.004228055477142334
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,contrast_1_5,2942,2942,0.012877702713012695,0.009977459907531738
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,pixelate_0_5,2942,2942,0.19483304023742676,0.19424420595169067
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,pixelate_0_33,2942,2942,0.22233957052230835,0.21429038047790527
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,pixelate_0_25,2942,2942,0.35801565647125244,0.37672489881515503
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,scratch_mild,2942,2942,0.29875826835632324,0.22405356168746948
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,scratch_moderate,2942,2942,0.5299004316329956,0.3696911931037903
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,scratch_severe,2942,2942,0.6520810127258301,0.43616783618927
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,rotation_45,2942,2942,0.39412808418273926,0.30874890089035034
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,rotation_90,2942,2942,0.011622488498687744,0.00951230525970459
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,rotation_135,2942,2942,0.3895690441131592,0.30881667137145996
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,rotation_180,2942,2942,0.0009378194808959961,0.0018761157989501953
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,compound_mild,2942,2942,0.3757420778274536,0.33041471242904663
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,compound_moderate,2942,2942,0.5241276025772095,0.44407832622528076
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,compound_severe,2942,2942,0.5537496209144592,0.5330405235290527
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,compound_optical_mild,2942,2942,0.19719886779785156,0.1599920392036438
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,compound_optical_moderate,2942,2942,0.3765023946762085,0.312349796295166
