bootstrap_id,slope,intercept,r,r_squared,n
106,1.0333214604678025,-0.07422055532366995,0.9135368845035764,0.8345496393485007,1626
107,1.0548413412238373,-0.0714862162394535,0.9064098149555158,0.8215787526476923,1602
108,1.0201286818663025,-0.06847471377648234,0.9131806556650794,0.8338989098809044,1602
109,1.0376909127494875,-0.07174855440132805,0.9003006221637044,0.8105412102683532,1609
110,1.0503681188317187,-0.06775287924187223,0.9072991261032685,0.8231917042277547,1610
111,1.0175834886166433,-0.06986115955728806,0.8841549346748543,0.7817299485098959,1574
112,1.0536344784193066,-0.07092534886904467,0.8994109033863795,0.8089399731303033,1631
113,1.0199297861084653,-0.06311952796487053,0.9164588168254076,0.8398967629370261,1616
114,1.0395112598012495,-0.06597968178847957,0.8941996229831966,0.7995929657432909,1611
115,1.054891811036548,-0.07007650539123761,0.9151771276585966,0.8375491749894393,1608
116,1.0192685530718553,-0.06289451077691749,0.8997169957323686,0.809490672409679,1608
117,1.039737804586817,-0.07298697555509492,0.9117366627777866,0.8312637422531755,1633
118,1.0467612465645864,-0.06725082321226189,0.8999534886967098,0.809916281817379,1595
119,1.0274357532677856,-0.07058855790696417,0.9153486922925947,0.8378632284817633,1596
120,1.0284913416500923,-0.06612433038309071,0.9018549910026215,0.8133424247963384,1583
121,1.0347821190167519,-0.06904768575973474,0.8960795753664992,0.8029586053890055,1587
122,1.0526698748308638,-0.07311335408696076,0.9216948493700458,0.8495213953552714,1627
123,0.9908074202406396,-0.06540915677650866,0.900427016587144,0.8107688122000248,1586
124,1.0516004097330693,-0.07597242965580803,0.9121811631983073,0.832074474493817,1612
125,1.040134358165428,-0.07385167117519756,0.9068873281459099,0.8224446259516273,1581
126,1.0278652588390658,-0.06380382941932705,0.8992930767990623,0.8087280379787243,1621
127,1.0406298018429692,-0.07270636500412175,0.8901342270650705,0.7923389421927305,1611
128,1.0115367244622406,-0.06798078751491637,0.9058600476338333,0.8205824258991707,1559
129,1.0501187207629463,-0.07525439774415416,0.9181505525316304,0.8430004371141381,1615
130,1.0199154355829616,-0.07124853800517,0.9145024966442932,0.8363148163686455,1615
131,1.0262086947609053,-0.06819666588596185,0.9011271396613026,0.8120301218341608,1604
132,1.0473454102960051,-0.07332027341176459,0.9079322884598945,0.824341040428021,1607
133,1.0741827292733086,-0.06947397765315066,0.8995336218771659,0.809160736887452,1579
134,1.091178260854995,-0.0726070463776724,0.919031216465741,0.8446183768384997,1604
135,1.0503335690361628,-0.07339619477319378,0.9148938262655149,0.8370307133387541,1579
136,1.074000535412952,-0.08241471464729733,0.9224341546904418,0.8508847697394698,1593
137,1.039854498477131,-0.06915269672304658,0.9153284452197122,0.8378261626283358,1564
138,1.0421885289198707,-0.06516529688364148,0.9029254971427212,0.8152744533904303,1604
139,1.059691956155206,-0.07453876511477697,0.9146174804883213,0.8365251356148047,1589
140,1.0406102955644772,-0.0688114380461835,0.8961057500741019,0.8030055153158687,1595
141,1.0092121641382168,-0.06675037658397495,0.9004152624170216,0.8107476447935139,1613
142,1.0274971018299601,-0.06406615043786354,0.9176759610413415,0.8421291694731498,1605
143,1.0458723536024879,-0.0730498390071882,0.9138421260876405,0.835107431412379,1596
144,1.050297477997675,-0.07359820173968423,0.9100353736955573,0.8281643813772126,1591
145,1.0353029049845492,-0.0648474539676529,0.9010130318757631,0.8118244836099549,1588
146,1.0626427230452422,-0.06770867645060036,0.9024912679424413,0.8144904887123553,1615
147,1.0287312195749119,-0.06940627812238237,0.9141026961458578,0.8355837391011265,1604
148,1.0311044766278965,-0.06885971072767555,0.915419574803465,0.8379929979333567,1590
149,1.018347189103385,-0.06896184677377565,0.909297911168189,0.8268226912548318,1601
150,1.0559633398052377,-0.06550642865867973,0.9064636987753307,0.8216764371974535,1586
151,1.043047752290532,-0.06756122489133348,0.8997762153675158,0.8095972377410903,1591
152,1.009408784267053,-0.06474371050991395,0.8977781885544319,0.8060056758440771,1620
153,1.0453746414502711,-0.07834315982015724,0.9180288669924317,0.8427770006314078,1607
154,1.0226914788148698,-0.07157934799235238,0.9176686165277719,0.8421156897599948,1596
155,1.0778601819854483,-0.0714108837461383,0.9096816951391092,0.8275207864711632,1596
156,1.0157582249152226,-0.06795151613710704,0.9092126058087684,0.8266675625615708,1605
157,1.016983443090142,-0.07188551414202624,0.913697849418437,0.8348437600318768,1586
158,1.0382584082916417,-0.07052824525383117,0.9032427276349718,0.8158474250254639,1597
159,1.0244687944665047,-0.06854108894206679,0.9106910308136985,0.8293581536045168,1616
