backbone,mag_a,mag_b,image_idx,csi,csi_bo,csi_hungarian,csi_permutation_gap
resnet50,VN26_x20,VN26_x50,43,0.10751699146632969,0.10751699146632969,0.33207444192558794,0.22455745045925823
resnet50,VN26_x20,VN26_x50,44,0.18496355864254824,0.18496355864254824,0.2088558717760829,0.023892313133534654
resnet50,VN26_x20,VN26_x50,45,0.04784464400518815,0.04784464400518815,0.1911363403944126,0.14329169638922445
resnet50,VN26_x20,VN26_x50,46,0.15303991766155411,0.15303991766155411,0.24895022092923003,0.09591030326767591
resnet50,VN26_x20,VN26_x50,47,0.4973762320930973,0.4973762320930973,0.59963683999973,0.10226060790663277
resnet50,VN26_x20,VN26_x50,48,0.528105619217188,0.528105619217188,0.53442378254867,0.006318163331481941
resnet50,VN26_x20,VN26_x50,49,0.5241701119970329,0.5241701119970329,0.5241701119970329,0.0
resnet50,VN26_x20,VN26_x50,50,0.22633874351122515,0.22633874351122515,0.22633874351122515,0.0
resnet50,VN26_x20,VN26_x50,51,0.49744969454799165,0.49744969454799165,0.5139708227040817,0.016521128156090026
resnet50,VN26_x20,VN26_x50,52,0.11076939432598264,0.11076939432598264,0.26970698624900774,0.1589375919230251
resnet50,VN26_x20,VN26_x50,53,0.1685643834135505,0.1685643834135505,0.2612414350190819,0.09267705160553141
resnet50,VN26_x20,VN26_x50,54,0.1666888897392136,0.1666888897392136,0.2455570263122754,0.0788681365730618
resnet50,VN26_x20,VN26_x50,55,0.14330699957562487,0.14330699957562487,0.19071373618176446,0.04740673660613959
resnet50,VN26_x20,VN26_x50,56,0.5337789100997664,0.5337789100997664,0.5362795040660572,0.002500593966290765
resnet50,VN26_x20,VN26_x50,57,0.15130486382027877,0.15130486382027877,0.22149556273497062,0.07019069891469185
