detector,heldout_family,train_n,test_n,test_failure_rate,threshold_from_train,train_best_f1,test_auc_roc,test_avg_precision,test_precision,test_recall,test_f1,test_fpr,tp,fp,fn,tn
ref_knn1_dist,defocus_blur,3976,280,0.8785714285714286,0.1778617948293686,0.8852618752630189,0.9247967479674796,0.989202286670292,0.9263565891472868,0.9715447154471544,0.9484126984126984,0.5588235294117647,239,19,7,15
ref_knn1_dist,gaussian_blur,3920,336,0.9196428571428572,0.1778617948293686,0.8789552983467098,0.9657197650725158,0.9968306134511746,0.9622641509433962,0.9902912621359224,0.9760765550239234,0.4444444444444444,306,12,3,15
ref_knn1_dist,gaussian_noise,4088,168,0.3571428571428571,0.1778617948293686,0.8950768540349171,0.9237654320987654,0.8564363590876145,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.1203703703703703,47,13,13,95
ref_knn1_dist,green_channel_shift,4032,224,0.0357142857142857,0.1778617948293686,0.8964160834174365,0.9357638888888888,0.5031848867595818,0.2,0.625,0.303030303030303,0.0925925925925925,5,20,3,196
ref_knn1_dist,illumination,4032,224,0.0,0.1778617948293686,0.8921674978742795,,,0.0,0.0,0.0,0.0,0,0,0,224
ref_knn1_dist,impulse_noise,4088,168,0.5714285714285714,0.2047553956508636,0.8951975391263307,0.884693287037037,0.9108793585922068,0.8409090909090909,0.7708333333333334,0.8043478260869567,0.1944444444444444,74,14,22,58
ref_knn1_dist,jpeg,3976,280,0.3035714285714285,0.1778617948293686,0.9027397255283984,0.8940573152337858,0.7898458903190255,0.5486111111111112,0.9294117647058824,0.6899563318777293,0.3333333333333333,79,65,6,130
ref_knn1_dist,motion_blur,4088,168,0.6607142857142857,0.1778617948293686,0.8941122770004863,0.907539118065434,0.9534301597772872,0.8362068965517241,0.8738738738738738,0.8546255506607928,0.3333333333333333,97,19,14,38
ref_knn1_dist,pixelate,4088,168,0.8869047619047619,0.2047553956508636,0.8899104761515163,0.9233486400565172,0.9898778643102067,0.9844961240310076,0.8523489932885906,0.9136690647482014,0.1052631578947368,127,2,22,17
ref_knn1_dist,red_channel_shift,4032,224,0.0223214285714285,0.1778617948293686,0.8934782603711138,0.8885844748858448,0.1501465201465201,0.25,0.2,0.2222222222222222,0.0136986301369863,1,3,4,216
ref_knn1_dist,resize,4088,168,0.1964285714285714,0.1778617948293686,0.902108767536676,0.7272727272727273,0.4028355109533389,0.3380281690140845,0.7272727272727273,0.4615384615384615,0.3481481481481481,24,47,9,88
ref_knn1_dist,rotation,4032,224,0.4285714285714285,0.179089605808258,0.8928408567744459,0.9800618489583331,0.9766956453435812,0.7833333333333333,0.9791666666666666,0.8703703703703703,0.203125,94,26,2,102
ref_knn1_dist,scratch,4088,168,0.4107142857142857,0.1778617948293686,0.9025664314790984,0.8925486751573708,0.8801084728049039,0.5036496350364964,1.0,0.6699029126213593,0.6868686868686869,69,68,0,31
ref_knn1_dist,shot_noise,4088,168,0.8214285714285714,0.2047553956508636,0.8948891026823989,0.7917874396135265,0.9493874640024909,0.88,0.7971014492753623,0.8365019011406845,0.5,110,15,28,15
ref_knn1_dist,zoom_blur,4088,168,0.8690476190476191,0.1778617948293686,0.8882694536247058,0.9062889165628892,0.9851823509195772,0.9113924050632912,0.9863013698630136,0.9473684210526316,0.6363636363636364,144,14,2,8
ref_knn5_dist,blue_channel_shift,4032,224,0.0089285714285714,0.229090616106987,0.8723118274573154,0.7815315315315314,0.0821812596006144,0.0,0.0,0.0,0.0135135135135135,0,3,2,219
ref_knn5_dist,compound,4088,168,1.0,0.232408806681633,0.8626400384675944,,,1.0,0.9642857142857144,0.9818181818181818,0.0,162,0,6,0
ref_knn5_dist,compound_digital,4088,168,0.8630952380952381,0.229090616106987,0.8679875860366114,0.9250374812593702,0.9869803436900654,0.9555555555555556,0.8896551724137931,0.9214285714285716,0.2608695652173913,129,6,16,17
ref_knn5_dist,compound_field,4088,168,0.9583333333333334,0.232408806681633,0.8644314863806748,0.8740017746228926,0.9941238755299732,0.9685534591194968,0.9565217391304348,0.9625,0.7142857142857143,154,5,7,2
ref_knn5_dist,compound_optical,4088,168,0.8928571428571429,0.232408806681633,0.86681169879921,0.8818518518518519,0.9842587610563696,0.9395973154362416,0.9333333333333332,0.9364548494983278,0.5,140,9,10,9
ref_knn5_dist,contrast,4032,224,0.0,0.229090616106987,0.8715308858029218,,,0.0,0.0,0.0,0.0044642857142857,0,1,0,223
ref_knn5_dist,defocus_blur,3976,280,0.8785714285714286,0.232408806681633,0.8638783264964189,0.906025824964132,0.9864015456810986,0.9346938775510204,0.9308943089430894,0.9327902240325866,0.4705882352941176,229,16,17,18
