backbone,dataset,k,n_images,sgi_mean,sgi_std,sil_mean,sil_std
hrnet32,PCA11,3,99,0.16667955060812203,0.05704451759769431,0.0982072725892067,0.020147033035755157
hrnet32,PCA11,4,99,0.2613894042465471,0.06622443414214467,0.0837930366396904,0.01409357599914074
hrnet32,PCA11,5,99,0.3210291692434549,0.06873727060239695,0.07644648104906082,0.013206886127591133
hrnet32,PCA11,6,99,0.36684446505875085,0.06771651814987216,0.07181510329246521,0.010293012484908104
hrnet32,PCA11,7,99,0.4052772624201196,0.072293139914846,0.06839317083358765,0.0093467328697443
hrnet32,PCA11,8,99,0.4364435168006596,0.07407505809151445,0.06459759920835495,0.008448627777397633
mobilenetv3,WRD25,2,96,0.08277529761904762,0.02831342917315094,0.13112211227416992,0.029819833114743233
mobilenetv3,WRD25,3,96,0.20677880527210882,0.08931927928980594,0.1046658530831337,0.02186875231564045
mobilenetv3,WRD25,4,96,0.2687606292517007,0.10676302909278393,0.10003296285867691,0.022405249997973442
mobilenetv3,WRD25,5,96,0.32024606717687076,0.1138187763768496,0.09501146525144577,0.019062653183937073
mobilenetv3,WRD25,6,96,0.36670918367346933,0.11027540002647727,0.09270226955413818,0.016572263091802597
mobilenetv3,WRD25,7,96,0.4138499149659864,0.10836597696686663,0.08896071463823318,0.01483069360256195
mobilenetv3,WRD25,8,96,0.4543606505102041,0.10198486506880032,0.08430709689855576,0.013727700337767601
mobilenetv3,DTSR14,2,89,0.06065122678284797,0.03720390831882808,0.13144461810588837,0.04230625927448273
mobilenetv3,DTSR14,3,89,0.10754414125200644,0.06107998701889468,0.11867813766002655,0.02796810306608677
mobilenetv3,DTSR14,4,89,0.15572689750057325,0.07298592781761865,0.121718630194664,0.028607942163944244
mobilenetv3,DTSR14,5,89,0.20380933272185278,0.0592357729668687,0.1259680688381195,0.022998102009296417
mobilenetv3,DTSR14,6,89,0.2732314836046778,0.07727000648779374,0.12021169811487198,0.0208739023655653
mobilenetv3,DTSR14,7,89,0.33007051135060766,0.07775541744979408,0.11508700251579285,0.019144821912050247
mobilenetv3,DTSR14,8,89,0.37468470534281134,0.07972171652156415,0.11050723493099213,0.015983309596776962
mobilenetv3,PCA11,2,99,0.0812461348175634,0.042428965177662856,0.12076418101787567,0.03263789042830467
mobilenetv3,PCA11,3,99,0.20024221809936094,0.08071810400836008,0.09545855969190598,0.01889181137084961
mobilenetv3,PCA11,4,99,0.27087198515769945,0.10184422003805589,0.09506653249263763,0.0179455503821373
mobilenetv3,PCA11,5,99,0.31734436198721916,0.09927333814397994,0.09604298323392868,0.01722477748990059
mobilenetv3,PCA11,6,99,0.37471655328798187,0.08779671695910964,0.09164085984230042,0.014050401747226715
mobilenetv3,PCA11,7,99,0.4280045351473923,0.0848345725100132,0.08699416369199753,0.01301448605954647
mobilenetv3,PCA11,8,99,0.4748376623376624,0.08243891399248784,0.0831688642501831,0.011326402425765991
