dataset,backbone,condition,image_idx,sgi,sgi_c0,sgi_c1,sgi_c2
WRD25,resnet50,clean,172,0.0007971938775510204,0.0004384566326530612,5.978954081632653e-05,0.00029894770408163266
WRD25,resnet50,clean,173,0.00723453443877551,0.0020527742346938774,0.0004982461734693878,0.004683514030612245
WRD25,resnet50,clean,174,0.0024713010204081634,0.0004185267857142857,0.0007772640306122449,0.0012755102040816326
WRD25,resnet50,clean,175,0.0015146683673469387,0.0006776147959183673,0.00013950892857142856,0.0006975446428571429
WRD25,resnet50,clean,176,0.0024713010204081634,0.00027901785714285713,0.0003786670918367347,0.0018136160714285715
WRD25,resnet50,clean,177,0.002849968112244898,0.00045838647959183676,0.0006576849489795918,0.0017338966836734694
WRD25,resnet50,clean,178,0.000896843112244898,0.0001793686224489796,0.0005181760204081633,0.0001992984693877551
WRD25,resnet50,clean,179,0.00390625,0.0008569834183673469,0.00023915816326530612,0.002810108418367347
WRD25,resnet50,clean,180,0.001096141581632653,0.0,0.0005181760204081633,0.0005779655612244898
WRD25,resnet50,clean,181,0.0018933354591836734,0.0005381058673469387,0.0006377551020408163,0.0007174744897959184
WRD25,resnet50,clean,182,0.010283801020408163,0.007692920918367347,0.00027901785714285713,0.002311862244897959
WRD25,resnet50,clean,183,0.011579241071428572,0.0037667410714285715,0.0005978954081632653,0.0072146045918367345
WRD25,resnet50,clean,184,0.009566326530612245,0.0020926339285714285,0.0008569834183673469,0.00661670918367347
WRD25,resnet50,clean,185,0.0015943877551020409,0.0008569834183673469,0.0004185267857142857,0.00031887755102040814
WRD25,resnet50,clean,186,0.001833545918367347,0.0015345982142857143,0.00023915816326530612,5.978954081632653e-05
WRD25,resnet50,clean,187,0.0020527742346938774,0.00013950892857142856,0.0010762117346938774,0.0008370535714285714
WRD25,resnet50,clean,188,0.0007374043367346938,0.00023915816326530612,0.00013950892857142856,0.0003587372448979592
WRD25,resnet50,clean,189,0.0011559311224489796,0.0003587372448979592,0.00011957908163265306,0.0006776147959183673
WRD25,resnet50,clean,190,0.002590880102040816,0.00031887755102040814,0.0011160714285714285,0.0011559311224489796
WRD25,resnet50,clean,191,0.002331792091836735,0.0002192283163265306,0.0012157206632653062,0.000896843112244898
WRD25,resnet50,clean,192,0.010184151785714286,0.008330676020408163,0.00045838647959183676,0.0013950892857142857
WRD25,resnet50,clean,193,0.013432716836734694,0.004464285714285714,0.0006776147959183673,0.008290816326530613
WRD25,resnet50,clean,194,0.010881696428571428,0.00470344387755102,0.0001992984693877551,0.005978954081632653
WRD25,resnet50,clean,195,0.013791454081632654,0.005600286989795918,0.0003786670918367347,0.0078125
WRD25,resnet50,clean,196,0.0022122130102040817,0.0,0.0012356505102040817,0.0009765625
WRD25,resnet50,clean,197,0.010084502551020409,0.005042251275510204,0.0003786670918367347,0.00466358418367347
WRD25,resnet50,clean,198,0.003985969387755102,0.0002192283163265306,0.001793686224489796,0.0019730548469387753
WRD25,resnet50,clean,199,0.002650669642857143,0.0022122130102040817,0.00013950892857142856,0.00029894770408163266
WRD25,efficientnet_b3,clean,0,0.017617984693877552,0.00914779974489796,0.0018933354591836734,0.006576849489795918
WRD25,efficientnet_b3,clean,1,0.01747847576530612,0.00741390306122449,0.004763233418367347,0.005301339285714286
WRD25,efficientnet_b3,clean,2,0.012017697704081632,0.0034279336734693877,0.0033880739795918366,0.0052016900510204085
WRD25,efficientnet_b3,clean,3,0.014867665816326531,0.0036870216836734694,0.005042251275510204,0.006138392857142857
WRD25,efficientnet_b3,clean,4,0.01030373086734694,0.0036073022959183672,0.0034877232142857145,0.003208705357142857
WRD25,efficientnet_b3,clean,5,0.009566326530612245,0.002032844387755102,0.0042251275510204085,0.003308354591836735
WRD25,efficientnet_b3,clean,6,0.010662468112244899,0.0017338966836734694,0.004145408163265306,0.0047831632653061226
WRD25,efficientnet_b3,clean,7,0.011300223214285714,0.002889827806122449,0.005141900510204082,0.003268494897959184
WRD25,efficientnet_b3,clean,8,0.011439732142857142,0.003009406887755102,0.005381058673469388,0.003049266581632653
WRD25,efficientnet_b3,clean,9,0.008529974489795918,0.0012555803571428572,0.003268494897959184,0.0040058992346938774
WRD25,efficientnet_b3,clean,10,0.009107940051020409,0.004424426020408163,0.0015943877551020409,0.0030891262755102043
WRD25,efficientnet_b3,clean,11,0.009247448979591837,0.0015744579081632653,0.00390625,0.0037667410714285715
WRD25,efficientnet_b3,clean,12,0.009845344387755101,0.0022520727040816328,0.0015744579081632653,0.006018813775510204
WRD25,efficientnet_b3,clean,13,0.01136001275510204,0.0017139668367346938,0.002849968112244898,0.006796077806122449
WRD25,efficientnet_b3,clean,14,0.01056281887755102,0.0019730548469387753,0.0029097576530612247,0.00568000637755102
WRD25,efficientnet_b3,clean,15,0.008529974489795918,0.001634247448979592,0.003627232142857143,0.003268494897959184
WRD25,efficientnet_b3,clean,16,0.012057557397959183,0.002272002551020408,0.005660076530612245,0.00412547831632653
WRD25,efficientnet_b3,clean,17,0.012396364795918368,0.002889827806122449,0.004723373724489796,0.0047831632653061226
WRD25,efficientnet_b3,clean,18,0.004185267857142857,0.00033880739795918367,0.0033880739795918366,0.00045838647959183676
WRD25,efficientnet_b3,clean,19,0.017378826530612245,0.008051658163265306,0.0006776147959183673,0.008649553571428572
WRD25,efficientnet_b3,clean,20,0.00603874362244898,0.005600286989795918,1.992984693877551e-05,0.0004185267857142857
WRD25,efficientnet_b3,clean,21,0.031050701530612245,0.0107421875,0.0016741071428571428,0.0186344068877551
WRD25,efficientnet_b3,clean,22,0.011499521683673469,0.010542889030612245,0.0003587372448979592,0.0005978954081632653
WRD25,efficientnet_b3,clean,23,0.007573341836734694,0.0021723533163265306,0.0014947385204081632,0.00390625
WRD25,efficientnet_b3,clean,24,0.006536989795918368,0.005042251275510204,0.00031887755102040814,0.001175860969387755
WRD25,efficientnet_b3,clean,25,0.0022520727040816328,0.0016940369897959183,0.00015943877551020407,0.0003985969387755102
WRD25,efficientnet_b3,clean,26,0.00723453443877551,0.003826530612244898,0.00023915816326530612,0.003168845663265306
WRD25,efficientnet_b3,clean,27,0.00763313137755102,0.002570950255102041,0.0005381058673469387,0.004524075255102041
WRD25,efficientnet_b3,clean,28,0.007573341836734694,0.0029894770408163264,0.0004185267857142857,0.004165338010204082
WRD25,efficientnet_b3,clean,29,0.005919164540816327,0.0020926339285714285,0.00031887755102040814,0.00350765306122449
WRD25,efficientnet_b3,clean,30,0.006696428571428571,0.001992984693877551,0.0003985969387755102,0.00430484693877551
WRD25,efficientnet_b3,clean,31,0.013691804846938776,0.002690529336734694,0.003527582908163265,0.007473692602040816
WRD25,efficientnet_b3,clean,32,0.017239317602040817,0.0065170599489795915,0.001295440051020408,0.009426817602040817
WRD25,efficientnet_b3,clean,33,0.0042251275510204085,0.0015943877551020409,0.0003985969387755102,0.002232142857142857
WRD25,efficientnet_b3,clean,34,0.02086654974489796,0.005082110969387755,0.0015744579081632653,0.01420998086734694
WRD25,efficientnet_b3,clean,35,0.0036073022959183672,0.000817123724489796,0.00015943877551020407,0.0026307397959183672
WRD25,efficientnet_b3,clean,36,0.00528140943877551,0.0007374043367346938,0.0012755102040816326,0.003268494897959184
WRD25,efficientnet_b3,clean,37,0.005082110969387755,0.0025111607142857145,9.964923469387755e-05,0.0024713010204081634
WRD25,efficientnet_b3,clean,38,0.006198182397959184,3.985969387755102e-05,0.0016541772959183674,0.0045041454081632655
WRD25,efficientnet_b3,clean,39,0.03685028698979592,0.016003667091836735,0.0019331951530612245,0.01891342474489796
WRD25,efficientnet_b3,clean,40,0.034837372448979595,0.021763392857142856,0.0013352997448979591,0.011738679846938776
WRD25,efficientnet_b3,clean,41,0.004264987244897959,0.002969547193877551,0.0001992984693877551,0.001096141581632653
