dataset,backbone,condition,image_idx,silhouette
PCA11,convnext_tiny,clean,40,0.042771115899086
PCA11,convnext_tiny,clean,41,0.012525279074907303
PCA11,convnext_tiny,clean,42,-0.004780258983373642
PCA11,convnext_tiny,clean,43,0.03598560020327568
PCA11,convnext_tiny,clean,44,-0.004775881767272949
PCA11,convnext_tiny,clean,45,0.006661009509116411
PCA11,convnext_tiny,clean,46,-0.03738662600517273
PCA11,convnext_tiny,clean,47,0.019594134762883186
PCA11,convnext_tiny,clean,48,-0.019041001796722412
PCA11,convnext_tiny,clean,49,-0.03024684451520443
PCA11,convnext_tiny,clean,50,0.07795646041631699
PCA11,convnext_tiny,clean,51,0.061203669756650925
PCA11,convnext_tiny,clean,52,-0.22455601394176483
PCA11,convnext_tiny,clean,53,-0.02386942133307457
PCA11,convnext_tiny,clean,54,0.05136663094162941
PCA11,convnext_tiny,clean,55,0.04964734986424446
PCA11,convnext_tiny,clean,56,0.021556124091148376
PCA11,convnext_tiny,clean,57,0.06338024884462357
PCA11,convnext_tiny,clean,58,-0.0468263179063797
PCA11,convnext_tiny,clean,59,-0.041856832802295685
PCA11,convnext_tiny,clean,60,0.05393175035715103
PCA11,convnext_tiny,clean,61,0.021551115438342094
PCA11,convnext_tiny,clean,62,0.043908264487981796
PCA11,convnext_tiny,clean,63,0.06614391505718231
PCA11,convnext_tiny,clean,64,-0.14711833000183105
PCA11,convnext_tiny,clean,65,-0.020263273268938065
PCA11,convnext_tiny,clean,66,0.08679905533790588
PCA11,convnext_tiny,clean,67,-0.14090082049369812
PCA11,convnext_tiny,clean,68,-0.03462202101945877
PCA11,convnext_tiny,clean,69,-0.039452165365219116
PCA11,convnext_tiny,clean,70,0.0061731720343232155
PCA11,convnext_tiny,clean,71,-0.10395001620054245
PCA11,convnext_tiny,clean,72,0.004282105714082718
PCA11,convnext_tiny,clean,73,-0.061093542724847794
PCA11,convnext_tiny,clean,74,-0.017697056755423546
PCA11,convnext_tiny,clean,75,-0.014609502628445625
PCA11,convnext_tiny,clean,76,0.4983077943325043
PCA11,convnext_tiny,clean,77,-0.0846448466181755
PCA11,convnext_tiny,clean,78,0.03173381835222244
PCA11,convnext_tiny,clean,79,-0.01812691055238247
PCA11,convnext_tiny,clean,80,0.019669819623231888
PCA11,convnext_tiny,clean,81,-0.016043949872255325
PCA11,convnext_tiny,clean,82,-0.01618024706840515
PCA11,convnext_tiny,clean,83,-0.0812387764453888
PCA11,convnext_tiny,clean,84,-0.013877971097826958
PCA11,convnext_tiny,clean,85,-7.462258508894593e-05
PCA11,convnext_tiny,clean,86,0.021414341405034065
PCA11,convnext_tiny,clean,87,-0.05406906083226204
PCA11,convnext_tiny,clean,88,0.01525369007140398
PCA11,convnext_tiny,clean,89,0.009197928011417389
PCA11,convnext_tiny,clean,90,0.03739500418305397
PCA11,convnext_tiny,clean,91,0.11979179084300995
PCA11,convnext_tiny,clean,92,0.35004377365112305
PCA11,convnext_tiny,clean,93,0.03267059102654457
PCA11,convnext_tiny,clean,94,0.04665711894631386
PCA11,convnext_tiny,clean,95,0.017545729875564575
PCA11,convnext_tiny,clean,96,-0.14696046710014343
PCA11,convnext_tiny,clean,97,-0.002822102978825569
PCA11,convnext_tiny,clean,98,-0.116581030189991
PCA11,convnext_tiny,clean,99,0.0
PCA11,convnext_tiny,clean,100,0.10558130592107773
PCA11,convnext_tiny,clean,101,0.023883800953626633
PCA11,convnext_tiny,clean,102,-0.21271471679210663
PCA11,convnext_tiny,clean,103,-0.1204928457736969
PCA11,convnext_tiny,clean,104,-0.05838877707719803
PCA11,convnext_tiny,clean,105,-0.06635938584804535
PCA11,convnext_tiny,clean,106,0.0569143183529377
PCA11,convnext_tiny,clean,107,-0.08325905352830887
PCA11,convnext_tiny,clean,108,-0.17732347548007965
PCA11,convnext_tiny,clean,109,-0.029491644352674484
PCA11,convnext_tiny,clean,110,-0.017475852742791176
PCA11,convnext_tiny,clean,111,0.042414821684360504
PCA11,convnext_tiny,clean,112,-0.04660084471106529
PCA11,convnext_tiny,clean,113,-0.026941519230604172
PCA11,convnext_tiny,clean,114,0.0077578662894666195
PCA11,convnext_tiny,clean,115,-0.046005286276340485
PCA11,convnext_tiny,clean,116,0.028810366988182068
PCA11,convnext_tiny,clean,117,-0.04309350624680519
PCA11,convnext_tiny,clean,118,-0.022928500548005104
