dataset,backbone,condition,image_idx,silhouette
DTSR14,convnext_tiny,clean,63,0.09046556800603867
DTSR14,convnext_tiny,clean,64,-0.025772690773010254
DTSR14,convnext_tiny,clean,65,-0.013894825242459774
DTSR14,convnext_tiny,clean,66,-0.037834350019693375
DTSR14,convnext_tiny,clean,67,-0.04560330882668495
DTSR14,convnext_tiny,clean,68,0.031243251636624336
DTSR14,convnext_tiny,clean,69,0.07701808214187622
DTSR14,convnext_tiny,clean,70,-0.011812793090939522
DTSR14,convnext_tiny,clean,71,-0.042464300990104675
DTSR14,convnext_tiny,clean,72,-0.14016607403755188
DTSR14,convnext_tiny,clean,73,-0.005702629219740629
DTSR14,convnext_tiny,clean,74,0.06695323437452316
DTSR14,convnext_tiny,clean,75,-0.16049866378307343
DTSR14,convnext_tiny,clean,76,0.00895191915333271
DTSR14,convnext_tiny,clean,77,-3.2802017813082784e-05
DTSR14,convnext_tiny,clean,78,0.07517766207456589
DTSR14,convnext_tiny,clean,79,0.01371733471751213
DTSR14,convnext_tiny,clean,80,0.0028184237889945507
DTSR14,convnext_tiny,clean,81,-0.023801404982805252
DTSR14,convnext_tiny,clean,82,-0.02936008758842945
DTSR14,convnext_tiny,clean,83,0.01604515127837658
DTSR14,convnext_tiny,clean,84,-0.01251912023872137
DTSR14,convnext_tiny,clean,85,-0.04203946143388748
DTSR14,convnext_tiny,clean,86,-0.028933018445968628
DTSR14,convnext_tiny,clean,87,-0.0036532729864120483
DTSR14,convnext_tiny,clean,88,0.051745302975177765
DTSR14,convnext_tiny,clean,89,0.0006619885098189116
DTSR14,convnext_tiny,clean,90,-0.04213784635066986
DTSR14,convnext_tiny,clean,91,0.34727466106414795
DTSR14,convnext_tiny,clean,92,-0.022346416488289833
DTSR14,convnext_tiny,clean,93,-0.04741184413433075
DTSR14,convnext_tiny,clean,94,0.007604348938912153
DTSR14,convnext_tiny,clean,95,-0.060529377311468124
DTSR14,convnext_tiny,clean,96,0.019992774352431297
DTSR14,convnext_tiny,clean,97,0.01855465956032276
DTSR14,convnext_tiny,clean,98,-0.05085881054401398
DTSR14,convnext_tiny,clean,99,0.04035886377096176
DTSR14,convnext_tiny,clean,100,0.018396543338894844
